                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.6148,                0.87917,                 1.1991,                0.49346,                 0.5994,                0.52171,                0.21267,                 2.7216,                 1.6161,                 1.8784,             0.00021798,             0.00021798,             0.00021798
                     70,                 1.5439,                0.79991,                 1.1961,                0.53846,                0.55374,                0.51391,                0.21814,                 2.7039,                 1.6221,                 1.8671,             0.00021137,             0.00021137,             0.00021137
                     71,                 1.5472,                0.82702,                 1.1819,                0.53982,                0.55084,                0.50933,                0.22203,                 2.7036,                  1.652,                 1.8664,             0.00020477,             0.00020477,             0.00020477
                     72,                 1.4649,                0.78912,                 1.1332,                0.53833,                0.53149,                0.51816,                0.22039,                  2.693,                 1.6944,                 1.8753,             0.00019817,             0.00019817,             0.00019817
                     73,                  1.458,                0.76529,                 1.1529,                0.53606,                0.53639,                0.52196,                 0.2236,                 2.6864,                  1.705,                 1.8951,             0.00019156,             0.00019156,             0.00019156
                     74,                  1.443,                0.75722,                  1.117,                0.51255,                0.53522,                0.51988,                0.22314,                 2.7283,                 1.7298,                 1.9377,             0.00018496,             0.00018496,             0.00018496
                     75,                    1.5,                0.78671,                 1.1295,                0.48733,                0.57143,                0.52903,                0.22141,                 2.7291,                 1.7311,                 1.9367,             0.00017836,             0.00017836,             0.00017836
                     76,                  1.423,                0.74718,                 1.1114,                0.50581,                0.58084,                0.53162,                0.22915,                 2.7286,                 1.7048,                 1.9314,             0.00017175,             0.00017175,             0.00017175
                     77,                 1.4484,                0.73903,                 1.1359,                0.50435,                0.57638,                0.52646,                0.22822,                  2.721,                  1.673,                 1.9258,             0.00016515,             0.00016515,             0.00016515
                     78,                 1.4083,                0.72842,                 1.1335,                0.54073,                 0.6044,                0.53673,                0.23792,                 2.7292,                 1.6735,                 1.9272,             0.00015855,             0.00015855,             0.00015855
                     79,                 1.3812,                0.70804,                  1.168,                0.63467,                0.58512,                0.56274,                0.23613,                 2.7134,                 1.6728,                 1.9204,             0.00015194,             0.00015194,             0.00015194
                     80,                 1.4615,                0.75288,                 1.1095,                0.64695,                0.58199,                 0.5706,                0.24318,                 2.7105,                 1.6853,                 1.9175,             0.00014534,             0.00014534,             0.00014534
                     81,                 1.3316,                0.70721,                 1.1135,                0.65819,                0.59667,                0.57426,                0.23668,                 2.7084,                 1.6907,                 1.9154,             0.00013874,             0.00013874,             0.00013874
                     82,                 1.3754,                0.71731,                 1.0881,                0.60693,                0.59552,                0.57451,                0.23462,                  2.719,                  1.678,                 1.9193,             0.00013213,             0.00013213,             0.00013213
                     83,                 1.3615,                0.71714,                 1.1102,                0.55253,                0.61754,                0.54764,                0.23302,                 2.7203,                 1.6701,                 1.9186,             0.00012553,             0.00012553,             0.00012553
                     84,                 1.3133,                0.68828,                 1.1003,                0.53798,                0.62121,                0.54897,                0.23213,                 2.7206,                 1.6569,                 1.9232,             0.00011893,             0.00011893,             0.00011893
                     85,                 1.4422,                0.74502,                 1.1102,                0.54297,                0.62151,                0.55069,                 0.2313,                 2.7178,                 1.6462,                 1.9279,             0.00011232,             0.00011232,             0.00011232
                     86,                 1.4773,                0.75685,                 1.1231,                0.51935,                0.56318,                 0.5504,                0.22769,                 2.7205,                 1.6481,                 1.9441,             0.00010572,             0.00010572,             0.00010572
                     87,                 1.3951,                0.76063,                 1.1069,                0.52768,                0.55389,                0.55296,                0.22792,                 2.7258,                 1.6546,                 1.9522,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                 1.3883,                 0.7396,                  1.131,                0.51519,                0.54744,                0.53247,                0.22003,                  2.732,                   1.68,                  1.964,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                 1.3702,                0.72027,                 1.0961,                0.57503,                0.53271,                0.56084,                0.22214,                 2.7349,                 1.6933,                 1.9766,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                 1.3588,                0.71512,                 1.1058,                0.62321,                0.52554,                0.57558,                0.21964,                 2.7378,                 1.7148,                 1.9954,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                 1.3401,                0.69853,                 1.1345,                0.62499,                0.52547,                0.57023,                0.21596,                 2.7458,                 1.7342,                 2.0098,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                 1.2546,                0.66881,                 1.0892,                0.61788,                0.53472,                0.56072,                0.21552,                 2.7553,                 1.7486,                 2.0182,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                 1.3772,                0.70455,                 1.1421,                0.62474,                0.53517,                0.55759,                0.21196,                 2.7611,                 1.7614,                 2.0234,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                 1.2937,                0.66446,                 1.0944,                0.64319,                0.52233,                0.56034,                 0.2082,                 2.7535,                 1.7801,                 2.0159,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                 1.3068,                0.66612,                 1.1188,                0.53605,                0.48751,                0.51157,                0.20645,                 2.7453,                 1.7904,                 2.0067,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                 1.2532,                0.66706,                 1.0712,                0.53784,                0.48999,                0.51643,                0.20876,                 2.7417,                 1.8029,                 1.9983,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                  1.283,                0.66026,                 1.1204,                0.53548,                0.49011,                0.51385,                0.20952,                 2.7398,                 1.8065,                 1.9967,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                 1.2487,                0.64401,                 1.0636,                0.53597,                0.49274,                0.50919,                0.20939,                 2.7495,                 1.8132,                 2.0018,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                 1.3002,                0.64931,                 1.1053,                0.53701,                0.49229,                0.50961,                0.20851,                 2.7502,                 1.8039,                 2.0004,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                 1.3319,                0.69929,                 1.1797,                0.64855,                 0.5144,                0.55639,                0.21478,                 2.7547,                 1.8134,                  2.002,             1.3273e-05,             1.3273e-05,             1.3273e-05
